dataset,profile,method,method_label,mean,std,min,max,count
hatespeech,typiclust_dense,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,34.333333333333336,5.033222956847167,29,39,3
hatespeech,typiclust_dense,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,43.666666666666664,6.8068592855540455,36,49,3
hatespeech,typiclust_dense,ours_sample_package_task_operator,Ours-online-pkg-task,35.0,7.810249675906654,26,40,3
hatespeech,typiclust_dense,ours_task_operator,Ours-online-task,25.333333333333332,8.962886439832502,15,31,3
hatespeech,uncertainty_badge,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hatespeech,uncertainty_badge,ours_influence_only,Teacher-no-loss,38.666666666666664,6.110100926607787,32,44,3
hatespeech,uncertainty_badge,ours_kernel_ridge_student,Ours-online-KRR,39.666666666666664,5.8594652770823155,33,44,3
hatespeech,uncertainty_badge,ours_krr_influence_only,Ours-online-KRR-no-loss,33.0,5.291502622129181,27,37,3
hatespeech,uncertainty_badge,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,36.333333333333336,6.110100926607787,31,43,3
hatespeech,uncertainty_badge,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
hatespeech,uncertainty_badge,ours_sample_package_direct,Teacher-pkg-direct,49.666666666666664,0.5773502691896263,49,50,3
hatespeech,uncertainty_badge,ours_sample_package_influence_only,Teacher-pkg-no-loss,43.333333333333336,5.686240703077327,37,48,3
hatespeech,uncertainty_badge,ours_sample_package_krr,Ours-online-pkg-KRR,42.333333333333336,0.5773502691896263,42,43,3
hatespeech,uncertainty_badge,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,38.666666666666664,2.0816659994661326,37,41,3
hatespeech,uncertainty_badge,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,40.333333333333336,0.5773502691896263,40,41,3
hatespeech,uncertainty_badge,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,49.666666666666664,0.5773502691896263,49,50,3
hatespeech,uncertainty_badge,ours_sample_package_task_operator,Ours-online-pkg-task,27.333333333333332,3.5118845842842465,24,31,3
hatespeech,uncertainty_badge,ours_task_operator,Ours-online-task,10.666666666666666,3.2145502536643185,7,13,3
mscoco,all_average,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
mscoco,all_average,ours_influence_only,Teacher-no-loss,45.666666666666664,6.658328118479393,38,50,3
